// Compost colors for ae2extras. You may add your own colors, change existing ones, or remove colors that aren't needed.
cell_component_16m, #d98a89
cell_component_1m, #bc6e6e
cell_component_4m, #c37a7a
cell_component_64m, #e6989a
chemical_cell_16m, #e6dcfc
chemical_cell_1m, #a1ccca
chemical_cell_4m, #aec8ea
chemical_cell_64m, #ffe8e3
fluid_storage_cell_16m, #e6dcfc
fluid_storage_cell_1m, #a1ccca
fluid_storage_cell_4m, #aec8ea
fluid_storage_cell_64m, #ffe8e3
item_storage_cell_16m, #dcd4ff
item_storage_cell_1m, #9eccca
item_storage_cell_4m, #8daff4
item_storage_cell_64m, #fae1f1
mono_fluid_cell_16k, #a88728
mono_fluid_cell_16m, #2cc57f
mono_fluid_cell_1k, #dc542c
mono_fluid_cell_1m, #618483
mono_fluid_cell_256k, #d4646e
mono_fluid_cell_4k, #f18a22
mono_fluid_cell_4m, #75c679
mono_fluid_cell_64k, #b98a6f
mono_fluid_cell_64m, #3da4c6
mono_item_cell_16k, #73ffcc
mono_item_cell_16m, #84d08c
mono_item_cell_1k, #eae3e0
mono_item_cell_1m, #b9908e
mono_item_cell_256k, #e3f2ff
mono_item_cell_4k, #ffffd6
mono_item_cell_4m, #cdd384
mono_item_cell_64k, #a4fffc
mono_item_cell_64m, #96afd2
