// Compost colors for ae2omnicells. You may add your own colors, change existing ones, or remove colors that aren't needed.
charged_ender_ingot, #4aaa98
complex_link_circuit_print, #ffe8d4
complex_link_print_press, #ddddf1
complex_link_processor, #51363e
complex_omni_cell_16k, #8da7ae
complex_omni_cell_16m, #a88c97
complex_omni_cell_1k, #8e9ab9
complex_omni_cell_1m, #b5ac9e
complex_omni_cell_256k, #97aa9b
complex_omni_cell_256m, #a894aa
complex_omni_cell_4k, #9da4bc
complex_omni_cell_4m, #af9794
complex_omni_cell_64k, #87a1a0
complex_omni_cell_64m, #b4a0b1
complex_omni_cell_component_16k, #a88684
complex_omni_cell_component_16m, #403a34
complex_omni_cell_component_1k, #b99b9b
complex_omni_cell_component_1m, #3c3933
complex_omni_cell_component_256k, #a88786
complex_omni_cell_component_256m, #413a34
complex_omni_cell_component_4k, #b59694
complex_omni_cell_component_4m, #3e3933
complex_omni_cell_component_64k, #a2807f
complex_omni_cell_component_64m, #433a34
complex_omni_cell_housing, #898690
creative_ae_cell_biginteger, #fbeaea
creative_ae_cell_long, #737297
ender_ingot, #258e7c
ender_nugget, #238e7c
multidimensional_expansion_circuit_print, #aec6ee
multidimensional_expansion_print_press, #e0e1f5
multidimensional_expansion_processor, #b1bfdc
omni_cell_16k, #78c5c3
omni_cell_16m, #94aaab
omni_cell_1k, #79b8cd
omni_cell_1m, #a0cab2
omni_cell_256k, #82c8b1
omni_cell_256m, #93b2bf
omni_cell_4k, #87c2d0
omni_cell_4m, #9ab5aa
omni_cell_64k, #72bfb4
omni_cell_64m, #a0bcc6
omni_cell_component_16k, #7ab9af
omni_cell_component_16m, #2f4d43
omni_cell_component_1k, #91c8be
omni_cell_component_1m, #b2c0bb
omni_cell_component_256k, #7cbbaf
omni_cell_component_256m, #2f4d43
omni_cell_component_4k, #8ac5bb
omni_cell_component_4m, #2f4a41
omni_cell_component_64k, #73b6ab
omni_cell_component_64m, #2d5046
omni_cell_housing, #70a8a8
omni_link_circuit_print, #cdfafb
omni_link_print_press, #e6e6fa
omni_link_processor, #cdd7e0
portable_complex_omni_cell_16k, #ffffff
portable_complex_omni_cell_16m, #ffffff
portable_complex_omni_cell_1k, #ffffff
portable_complex_omni_cell_1m, #ffffff
portable_complex_omni_cell_256k, #ffffff
portable_complex_omni_cell_256m, #ffffff
portable_complex_omni_cell_4k, #ffffff
portable_complex_omni_cell_4m, #ffffff
portable_complex_omni_cell_64k, #ffffff
portable_complex_omni_cell_64m, #ffffff
portable_omni_cell_16k, #ffffff
portable_omni_cell_16m, #ffffff
portable_omni_cell_1k, #ffffff
portable_omni_cell_1m, #ffffff
portable_omni_cell_256k, #ffffff
portable_omni_cell_256m, #ffffff
portable_omni_cell_4k, #ffffff
portable_omni_cell_4m, #ffffff
portable_omni_cell_64k, #ffffff
portable_omni_cell_64m, #ffffff
portable_quantum_omni_cell_16k, #ffffff
portable_quantum_omni_cell_16m, #ffffff
portable_quantum_omni_cell_1k, #ffffff
portable_quantum_omni_cell_1m, #ffffff
portable_quantum_omni_cell_256k, #ffffff
portable_quantum_omni_cell_256m, #ffffff
portable_quantum_omni_cell_4k, #ffffff
portable_quantum_omni_cell_4m, #ffffff
portable_quantum_omni_cell_64k, #ffffff
portable_quantum_omni_cell_64m, #ffffff
quantum_omni_cell_16k, #94a2d7
quantum_omni_cell_16m, #ac8cc5
quantum_omni_cell_1k, #9698e1
quantum_omni_cell_1m, #b6a8ca
quantum_omni_cell_256k, #9da5c9
quantum_omni_cell_256m, #ac93d4
quantum_omni_cell_4k, #a2a1e4
quantum_omni_cell_4m, #b296c2
quantum_omni_cell_64k, #909ecc
quantum_omni_cell_64m, #b69dda
quantum_omni_cell_component_16k, #8d82c9
quantum_omni_cell_component_16m, #4d3e72
quantum_omni_cell_component_1k, #a587eb
quantum_omni_cell_component_1m, #664698
quantum_omni_cell_component_256k, #8e84c8
quantum_omni_cell_component_256m, #4a3d6c
quantum_omni_cell_component_4k, #9887d4
quantum_omni_cell_component_4m, #55417d
quantum_omni_cell_component_64k, #897fc3
quantum_omni_cell_component_64m, #4a3d6e
quantum_omni_cell_housing, #9086bf
spent_nuclear_waste_cell, #82a170
spent_nuclear_waste_component, #8c915a
spent_nuclear_waste_singularity, #516541
type_fuzzy_card, #acbfc8
