// Compost colors for apotheosis. You may add your own colors, change existing ones, or remove colors that aren't needed.
arcane_sands, #c358c3
ascent_spawner_upgrade_rune, #6b6c91
boss_summoner, #726586
burning_spawner_rune, #6f758c
diamond_upgrade_smithing_template, #5c7372
echoing_spawner_rune, #737993
frontier_spawner_upgrade_rune, #64796e
gem, #e87d39
gem_dust, #948eff
gem_fused_slate, #5c5c5c
god_fused_pearl, #ff8933
godforged_pearl, #ff8933
gold_upgrade_smithing_template, #786f55
ignore_conditions_spawner_rune, #72788e
ignore_light_spawner_rune, #727690
ignore_players_spawner_rune, #6e7389
infused_spawner_rune, #64666c
initial_health_spawner_rune, #70758c
iron_upgrade_smithing_template, #6f6f6f
luminous_crystal_shard, #a48aff
music_disc_flash, #ffebc6
music_disc_glimmer, #e6deee
music_disc_shimmer, #ded3dd
mysterious_scrap_metal, #766965
no_ai_spawner_rune, #6f758c
pinnacle_spawner_upgrade_rune, #837568
potion_charm, #ffea83
redstone_control_spawner_rune, #6b6f7f
sigil_of_enhancement, #7f6b57
sigil_of_malice, #7a5f5e
sigil_of_rebirth, #756576
sigil_of_socketing, #656c76
sigil_of_supremacy, #80735c
sigil_of_unnaming, #696e72
sigil_of_withdrawal, #727f69
silent_spawner_rune, #70768e
spawn_range_spawner_rune, #6f758d
spawner_chain, #aec0e3
spawner_rune, #64666c
summit_spawner_upgrade_rune, #806c8a
timeworn_fabric, #4a734a
youthful_spawner_rune, #70758d
