// Compost colors for ars_elemental. You may add your own colors, change existing ones, or remove colors that aren't needed.
air_bangle, #ffda5c
air_boots, #ffffea
air_boots_heavy, #ede1bf
air_caster_tome, #bcc647
air_chestplate, #e6ddbe
air_focus, #ffff75
air_hat, #e7e3c5
air_helmet, #ffffda
air_hood, #ffffcd
air_leggings, #fffff2
air_leggings_heavy, #ccbc90
air_pants, #fffff1
air_robes, #d6d0a7
air_shoes, #ffffe6
air_tunic, #ded7be
anima_bangle, #deb476
anima_caster_tome, #696646
aqua_boots, #4617c
aqua_boots_heavy, #467d86
aqua_chestplate, #52989e
aqua_hat, #4daaa7
aqua_helmet, #c3f8e8
aqua_hood, #3dacd6
aqua_leggings, #586ab
aqua_leggings_heavy, #547876
aqua_pants, #586ab
aqua_robes, #2991a4
aqua_shoes, #45e79
aqua_tunic, #4e898a
base_bangle, #ffa0a4
caster_bag, #a0a0a0
curio_bag, #a54ba0
debug, #e1c882
earth_bangle, #bed372
earth_boots, #322820
earth_boots_heavy, #5c471f
earth_caster_tome, #6fc550
earth_chestplate, #44580e
earth_focus, #73e055
earth_hat, #689637
earth_helmet, #86973e
earth_hood, #55733a
earth_leggings, #3e4319
earth_leggings_heavy, #766814
earth_pants, #3c551b
earth_robes, #527629
earth_shoes, #222815
earth_tunic, #629320
fire_bangle, #ff8c3a
fire_boots, #8d3304
fire_boots_heavy, #8a4812
fire_caster_tome, #de7c4e
fire_chestplate, #803c12
fire_focus, #ffcf54
fire_hat, #de8029
fire_helmet, #9a582d
fire_hood, #e48d34
fire_leggings, #ab4719
fire_leggings_heavy, #9b5515
fire_pants, #a2642a
fire_robes, #cf661c
fire_shoes, #915214
fire_tunic, #bf8026
firenando_charm, #ff9b2d
flashjack_charm, #f5c946
flashjack_shards, #b5c687
flashpine_pod, #ffd320
lesser_air_focus, #ffff7f
lesser_earth_focus, #eeff8d
lesser_fire_focus, #ffeb73
lesser_water_focus, #f1f4d0
manipulation_caster_tome, #cc983a
mark_of_mastery, #ffff80
necrotic_focus, #943c22
siren_charm, #b9e1af
siren_shards, #b5beb1
sparkflower, #afa84d
summon_bangle, #fbc3a4
thread_shock, #b9a5ab
thread_spore, #ccbcbb
thread_summon, #cab9b8
water_bangle, #e8c6aa
water_caster_tome, #7f98b8
water_focus, #bed6ff
yellow_archwood_sapling, #d9e354
