// Compost colors for ars_nouveau. You may add your own colors, change existing ones, or remove colors that aren't needed.
abjuration_essence, #ed3cff
air_essence, #e4ff3c
alakarkinos_charm, #a7c0b9
alakarkinos_token, #ffffd3
alchemists_crown, #ddb178
allow_scroll, #ffffb8
amethyst_golem_charm, #a8809a
amplify_arrow, #ca9de1
amulet_of_mana_boost, #dc738a
amulet_of_mana_regen, #ee8e94
annotated_codex, #8d6c98
arcanist_boots, #d9d9d9
arcanist_hood, #ffffff
arcanist_leggings, #fbfbfb
arcanist_robes, #f8f8f8
archwood_boat, #fbfbfb
archwood_door, #ffffff
archwood_hanging_sign, #968d9a
archwood_sign, #968d9b
ars_stencil, #fffff1
bastion_pod, #913975
battlemage_boots, #462554
battlemage_hood, #f0f0f0
battlemage_leggings, #b9ae80
battlemage_robes, #e4e4e4
belt_of_levitation, #9a96bf
belt_of_unstable_gifts, #a77c76
blank_glyph, #ffe8af
blank_parchment, #ffffbb
blank_thread, #978097
blue_archwood_sapling, #3e62d2
bombegranate_pod, #ff7533
bookwyrm_charm, #e49db1
caster_tome, #c070cc
conjuration_essence, #39b9f4
debug, #f2aac6
deny_scroll, #ffffb5
dominion_wand, #f2aac6
dowsing_rod, #d6d090
drygmy_charm, #ffaf4d
drygmy_shard, #eae1a5
dull_trinket, #da8673
earth_essence, #30d652
experience_gem, #dcff3a
familiar_amethyst_golem, #b19798
familiar_bookwyrm, #d7b1a5
familiar_drygmy, #deaf7c
familiar_starbuncle, #f0c387
familiar_whirlisprig, #bedc89
familiar_wixie, #d0969a
fire_essence, #f83c4d
frostaya_pod, #a7beff
glyph_accelerate, #f1cc83
glyph_amplify, #eec97f
glyph_animate_block, #b1c9aa
glyph_aoe, #e3bf79
glyph_blink, #a8c0a4
glyph_bounce, #b4caab
glyph_break, #b5ccac
glyph_bubble, #afc8a8
glyph_burst, #9eb89e
glyph_cold_snap, #acc5a7
glyph_conjure_water, #8eaa93
glyph_craft, #89a590
glyph_crush, #b5cdac
glyph_cut, #b4ccac
glyph_dampen, #eec97f
glyph_decelerate, #ebc87f
glyph_delay, #b2c9aa
glyph_dispel, #bed3b2
glyph_duration_down, #f1cc82
glyph_ender_inventory, #a4bea1
glyph_evaporate, #b2caab
glyph_exchange, #b1c9aa
glyph_explosion, #a5bea2
glyph_extend_time, #f0ca80
glyph_extract, #e3bf78
glyph_fangs, #a4bea1
glyph_fell, #aac2a4
glyph_firework, #aec6a8
glyph_flare, #9eb89d
glyph_fortune, #e3bf78
glyph_freeze, #b2caab
glyph_glide, #a8c2a4
glyph_gravity, #afc6a8
glyph_grow, #98b298
glyph_gust, #afc8aa
glyph_harm, #9eb89d
glyph_harvest, #b9d0af
glyph_heal, #b2c9aa
glyph_hex, #a5bfa2
glyph_ignite, #a0b99e
glyph_infuse, #b4caac
glyph_intangible, #a2bca1
glyph_interact, #87a48e
glyph_invisibility, #a5bea2
glyph_launch, #b5cdac
glyph_leap, #abc3a5
glyph_light, #b4ccab
glyph_lightning, #94af97
glyph_linger, #a8c0a4
glyph_name, #a7bfa2
glyph_orbit, #b2caab
glyph_pantomime, #e1b2c2
glyph_phantom_block, #8eab94
glyph_pickup, #afc6a8
glyph_pierce, #e3be78
glyph_place_block, #afc6a8
glyph_prestidigitation, #acc5a7
glyph_projectile, #d7aabb
glyph_pull, #afc6a8
glyph_randomize, #ebc67d
glyph_redstone_signal, #b4ccab
glyph_rotate, #b1c9aa
glyph_rune, #a0b99e
glyph_self, #d7aabb
glyph_sense_magic, #9eb89e
glyph_sensitive, #f1cc83
glyph_slowfall, #a5bfa2
glyph_smelt, #9bb59b
glyph_snare, #9ab59a
glyph_split, #f4cf84
glyph_summon_decoy, #a8c0a2
glyph_summon_steed, #a1bba0
glyph_summon_undead, #91ae97
glyph_summon_vex, #a1bba0
glyph_summon_wolves, #9db69d
glyph_toss, #b2c9aa
glyph_touch, #ddafbf
glyph_underfoot, #bc91aa
glyph_wall, #8daa94
glyph_wind_burst, #9db69d
glyph_wind_shear, #a7c0a4
glyph_wither, #90ac97
greater_experience_gem, #cfff3c
green_archwood_sapling, #3db230
jar_of_light, #d6f2fc
jump_ring, #ffc3be
magebloom, #d48aff
magebloom_crop, #b479ff
magebloom_fiber, #e873ff
manipulation_essence, #ff7a3c
mendosteen_pod, #878728
mimic_scroll, #ffffb6
mundane_belt, #a8502d
music_disc_aria_biblio, #ddafff
music_disc_firel_the_wild_hunt, #be91fb
music_disc_thistle_the_sound_of_glass, #d6b2ff
pierce_arrow, #cda2e3
potion_flask, #ffffff
potion_flask_amplify, #ffffff
potion_flask_extend_time, #ffffff
purple_archwood_sapling, #9630de
red_archwood_sapling, #dd3d34
reset, #b6cdac
rewind, #b4caab
ring_of_greater_discount, #9bd3d2
ring_of_lesser_discount, #62c5e1
ring_of_potential, #fcfcfc
ritual_animal_summon, #a487a5
ritual_awakening, #7da890
ritual_binding, #9b8d9d
ritual_burrowing, #a0afa7
ritual_challenge, #a790a8
ritual_cloudshaping, #9da8b1
ritual_conjure_island_desert, #aa8d8e
ritual_conjure_island_plains, #8dab9a
ritual_containment, #978698
ritual_disintegration, #aa9090
ritual_fertility, #9dafa5
ritual_flight, #a793a8
ritual_flowering, #9bafa4
ritual_forestation, #83a593
ritual_gravity, #a598a5
ritual_harvest, #a1b2aa
ritual_moonfall, #97a4af
ritual_overgrowth, #84a494
ritual_restoration, #8aa898
ritual_sanctuary, #90a0ae
ritual_scrying, #a58da7
ritual_sunrise, #ae9a9b
ritual_warping, #a78da8
ritual_wilden_summon, #a89aa8
runic_chalk, #cdd973
scryer_scroll, #fff7af
shapers_focus, #ffff94
sorcerer_boots, #b9b9b9
sorcerer_hood, #c0c0c0
sorcerer_leggings, #e6e6e6
sorcerer_robes, #e4e4e4
source_berry_pie, #f296b2
source_berry_roll, #af7837
source_gem, #da72ff
sourceberry_bush, #794491
spell_parchment, #fff0af
split_arrow, #d6a4ee
stable_warp_scroll, #f0cacd
starbuncle_charm, #ffd35e
starbuncle_shards, #ffe85a
starby_gift, #d48ad7
summon_focus, #ffccff
thread_amethyst_golem, #c2b4bb
thread_chilling, #b1a0ac
thread_depths, #cdc0c3
thread_drygmy, #b4a1ae
thread_feather, #beaeb6
thread_gliding, #bbacb5
thread_heights, #ae9baa
thread_high_step, #aa97a7
thread_immolation, #b8a7b2
thread_kindling, #c2b4bb
thread_life_drain, #bcacb6
thread_magic_capacity, #c3b6bc
thread_repairing, #ac9aaa
thread_spellpower, #ae9dab
thread_starbuncle, #b1a0ac
thread_undying, #c0b2b9
thread_warding, #b2a2af
thread_whirlisprig, #ac9aaa
thread_wixie, #b8a7b2
void_jar, #b6caea
warp_scroll, #f4dac3
water_essence, #5eabff
whirlisprig_charm, #b6ff5c
whirlisprig_shards, #c69d57
wilden_horn, #e1d79d
wilden_spike, #ee5e33
wilden_tribute, #967fb8
wilden_wing, #4b3e2f
