// Compost colors for butchery. You may add your own colors, change existing ones, or remove colors that aren't needed.
all_black_cat_fur, #9b9ba2
animal_fat, #ffffed
basin, #f4f4f5
bat_skin, #b9ab9d
bat_wing, #f2eade
bee_wings, #f1f5f2
bird_foot, #ffffff
black_cat_fur, #fcfbff
black_horse_skin, #9a9ba1
blood_puddle, #ffe0e1
blood_splatter, #ffe0e1
bloody_butchers_apron_chestplate, #ffffff
bone_cleaver, #ffffff
bone_hacksaw, #ffffee
bone_hammer, #ffffff
bone_skinning_knife, #ffffff
bottle_of_blood, #ffffff
bottle_of_infected_blood, #ffffff
bottle_of_sulfuric_acid, #ffffff
brain, #ffe6f4
broken_wishbone, #ffffff
brown_horse_skin, #c29b87
brown_llama_skin, #f4cda1
brown_mooshroom_skin, #fff4da
butchers_apron_chestplate, #ffffff
butchers_papers, #ffe1d7
calamari, #fff190
calico_cat_fur, #ffffff
camel_skin, #ffffbe
chestnut_horse_skin, #edb290
coin, #ffffff
cooked_bat_meat, #fbc8b5
cooked_bee_back_meat, #c2aea2
cooked_beef_mince, #e0cfc3
cooked_blood_sausage, #7a7272
cooked_blue_axolotl_fillet, #ffffff
cooked_brown_axolotl_fillet, #fffffc
cooked_camel_meat, #f5c8af
cooked_cat_meat, #e3d7d2
cooked_cave_spider_leg, #988c87
cooked_chicken_leg, #ffffff
cooked_chicken_wing, #ffe1c2
cooked_chuck_steak, #ccbbae
cooked_cod_fillet, #ffffff
cooked_creeper_leg, #f2ffe6
cooked_creeper_steak, #abd498
cooked_cyan_axolotl_fillet, #f1f8ff
cooked_dolphin_meat, #dde0e7
cooked_donkey_steak, #b8a79e
cooked_dragon_meat, #756f79
cooked_elder_guardian_meat, #feebcc
cooked_enderman_intestines, #beb9c6
cooked_enderman_kidney, #f1f4cc
cooked_enderman_liver, #ab7f9a
cooked_enderman_lungs, #b1a0a8
cooked_enderman_steak, #ab9dc3
cooked_enderman_stomach, #c294af
cooked_endermite_chunks, #ffffff
cooked_evoker_meat, #f4edea
cooked_fox_meat, #f2dad3
cooked_gold_axolotl_fillet, #fffff8
cooked_gray_frog_leg, #938070
cooked_green_frog_leg, #73755f
cooked_guardian_meat, #cddac2
cooked_ham, #ffeac3
cooked_heart, #da9782
cooked_hoglin_chunk, #ffeedd
cooked_horse_meat, #ffe0d0
cooked_intestines, #fee6da
cooked_kidney, #ffe4ca
cooked_lamb_loin, #e4d7d0
cooked_lamb_mince, #e0cfc3
cooked_lamb_rib, #fff4ee
cooked_lamb_shoulder, #fffbf7
cooked_lamb_sirloin, #f4e8e1
cooked_leg_of_lamb, #f4e6de
cooked_liver, #e0bb98
cooked_llama_steak, #d3b6a0
cooked_lungs, #e0bca7
cooked_mule_steak, #dca491
cooked_ocelot_meat, #e3d7d2
cooked_orange_frog_leg, #a87965
cooked_panda_steak, #e7ccc0
cooked_pillager_meat, #f4edea
cooked_pink_axolotl_fillet, #ffffff
cooked_polar_bear_meat, #b1937a
cooked_pork_belly, #fff2cf
cooked_pork_leg, #ffffe8
cooked_pork_loin, #ffffee
cooked_pork_shoulder, #fffacf
cooked_pufferfish, #ffffff
cooked_ravager_meat, #ac9489
cooked_ribeye_steak, #bcaa9e
cooked_rump_steak, #bbaca2
cooked_salmon, #fffae3
cooked_sausage, #a78d83
cooked_shulker_meat, #fff5d7
cooked_silverfish_chunks, #ffffff
cooked_sirloin_steak, #e3cabc
cooked_sniffer_steak, #b69a8d
cooked_spider_leg, #988c87
cooked_stomach, #ffc5a4
cooked_strider_meat, #fbe0e3
cooked_tbone_steak, #e7d9d2
cooked_turtle_meat, #cdd7c6
cooked_villager_steak, #ffe7dd
cooked_vindicator_meat, #f4edea
cooked_warden_meat, #b4cddc
cooked_witch_meat, #fff1e4
cooked_wolf_meat, #c3b5af
cookedhumanmeat, #d4b9b2
copper_cleaver, #fff2dc
copper_hacksaw, #ffe1cc
copper_hammer, #fffae4
copper_skinning_knife, #ffead3
cow_skin, #ebcfc6
crackling, #b6752c
creamy_horse_skin, #f5cfa2
creamy_llama_skin, #ffffff
creeper_skin, #d0ffc8
dark_brown_horse_skin, #a29189
deep_smithing_template, #b8c2c6
diamond_cleaver, #b2ffff
diamond_hacksaw, #eefff4
diamond_hammer, #e4ffff
diamond_skinning_knife, #e0ffff
dolphin_skin, #ffffff
donkey_skin, #dccfc3
dragon_bone, #e1e1e1
dragon_scale, #bcbcbc
dragon_scale_armor_boots, #dcd9dd
dragon_scale_armor_chestplate, #a49ea7
dragon_scale_armor_helmet, #e8e7ea
dragon_scale_armor_leggings, #dedce0
dragon_scale_ingot, #8a8a8a
dragon_smithing_template, #9a949d
elder_guardian_carcass, #ffffff
elder_guardian_eye, #ffffff
elder_guardian_spike, #ffffff
ender_dragon_carcass, #d9d3d9
enderman_heart, #93b1c2
enderman_intestines, #e0d9f5
enderman_kidney, #ffffde
enderman_liver, #b8a2f1
enderman_lungs, #f5d7f2
enderman_stomach, #ead2ff
evoker_robes_boots, #ffffff
evoker_robes_chestplate, #a4a193
evoker_robes_helmet, #ffffff
evoker_robes_leggings, #dde7e7
eye, #ffffff
flesh, #e8ab98
fox_skin, #ffeba0
frog_heart, #fff4f4
fur_suit_boots, #f5f1ee
fur_suit_chestplate, #9e968a
fur_suit_helmet, #ffffff
fur_suit_leggings, #dcd7d2
goat_skin, #ffffff
gold_cleaver, #ffffb2
gold_hacksaw, #ffffc0
gold_hammer, #ffffe3
gold_skinning_knife, #ffffe0
gray_horse_skin, #c9c9c9
gray_llama_skin, #ffffff
guardian_spike, #fffff7
heart, #e78c8c
hoglin_skin, #ffe8d9
honey_stomach, #ffffc6
hoof, #ffffff
hook, #fcfbfc
icey_bone, #ffffff
icey_bone_meal, #ffffff
intestines, #ffebf1
iron_cleaver, #faf8f8
iron_hacksaw, #fffcf0
iron_hammer, #ffffff
iron_skinning_knife, #ffffff
jellie_cat_fur, #ffffff
kidney, #ffd9d9
liver, #f1acaa
lungs, #fbcdcf
magic_wishbone, #ffffff
magma_chunks, #fff0eb
meat_scraps, #fffcf1
mule_skin, #c5b2aa
netherite_cleaver, #d7c8c9
netherite_hacksaw, #ebe3d6
netherite_hammer, #e6d9d7
netherite_skinning_knife, #e6d9da
ocelot_skin, #ffffd0
panda_skin, #ffffff
persian_cat_fur, #fffff8
pig_skin, #ffddd9
piglin_brute_armor_chestplate, #a29784
pillager_armor_boots, #fffcf5
pillager_armor_chestplate, #c9bbbb
pillager_armor_helmet, #ffffff
pillager_armor_leggings, #dde7e7
poison_sac, #fffff1
polar_bear_skin, #ffffff
pufferfish_spike, #ffffff
rag, #ffffff
ragdoll_cat_fur, #ffffff
ravager, #f7f7f2
raw_bat_meat, #ffffff
raw_bee_back_meat, #ffffff
raw_beef_mince, #ffede8
raw_blood_sausage, #9a7d7d
raw_blue_axolotl_fillet, #ffffff
raw_brown_axolotl_fillet, #ffffff
raw_camel_meat, #ffffff
raw_cat_meat, #ffffff
raw_cave_spider_leg, #90a2a0
raw_chicken_leg, #ffffff
raw_chicken_wing, #fffff4
raw_chuck_steak, #ffd4cf
raw_cod_fillet, #ffffff
raw_creeper_leg, #f5ffed
raw_creeper_steak, #b1ffab
raw_cyan_axolotl_fillet, #ffffff
raw_dolphin_meat, #f7f7ff
raw_donkey_steak, #fffffe
raw_dragon_meat, #82738c
raw_elder_guardian_meat, #fffff5
raw_enderman_steak, #c2aed7
raw_endermite_chunks, #ffffff
raw_evoker_meat, #ffffff
raw_fox_meat, #ffffff
raw_gold_axolotl_fillet, #fffff8
raw_gray_frog_leg, #cfd0bf
raw_green_frog_leg, #91b17c
raw_guardian_meat, #f7fff0
raw_ham, #ffffff
raw_hoglin_chunk, #ffffff
raw_horse_meat, #ffffff
raw_lamb_loin, #fff0f0
raw_lamb_mince, #ffffff
raw_lamb_rib, #ffffff
raw_lamb_shoulder, #ffffff
raw_lamb_sirloin, #ffe6e6
raw_leg_of_lamb, #ffebeb
raw_llama_steak, #fff2f2
raw_mule_steak, #fff4f8
raw_ocelot_meat, #ffffff
raw_orange_frog_leg, #fabc96
raw_panda_steak, #fff4f2
raw_pillager_meat, #ffffff
raw_pink_axolotl_fillet, #ffffff
raw_polar_bear_meat, #ffe0de
raw_pork_belly, #ffffff
raw_pork_leg, #ffffff
raw_pork_loin, #ffffff
raw_pork_shoulder, #ffffff
raw_pufferfish, #ffffff
raw_ravager_meat, #ffbebf
raw_ribeye_steak, #ffcdc5
raw_rump_steak, #ffc8c0
raw_salmon, #fffff2
raw_sausage, #ffdcdd
raw_shulker_meat, #fffff5
raw_silverfish_chunks, #ffffff
raw_sirloin_steak, #ffd2d6
raw_sniffer_steak, #ffe0dd
raw_spider_leg, #a09a93
raw_strider_meat, #ffffff
raw_tbone_steak, #ffe7e6
raw_turtle_meat, #f1fae0
raw_villager_steak, #ffffff
raw_vindicator_meat, #ffffff
raw_warden_meat, #d3ffff
raw_witch_meat, #ffffff
raw_wolf_meat, #ffffff
rawhumanmeat, #ffffff
red_cat_fur, #ffffff
red_mooshroom_skin, #ffc3c3
rope, #fffffa
rotten_heart, #b9b8a5
rotten_intestines, #ebe7e3
rotten_kidney, #feebe0
rotten_liver, #cdbbc6
rotten_lungs, #c0bfb9
rotten_stomach, #eadccd
salt, #ffffff
salt_formation_tip, #ffffff
sausage_attachment, #ffffff
sculk_bone, #ffffea
sculkbonemeal, #eef1dd
sheep_skin, #ffffff
shorthair_cat_fur, #ffffff
siamese_cat_fur, #ffffff
slime_chunks, #ffffff
sniffer_fur, #c29a91
snow_fox_skin, #ffffff
spiked_dragon_bone, #ffffff
sponge, #ffffe4
stomach, #ffd9ca
stray_necklace_chestplate, #d9dada
sulfur, #ffffe1
tabby_cat_fur, #ffffff
tentacles, #ffffff
themightymeatball, #ffffff
turtle_shell_armor_boots, #c9ffd0
turtle_shell_armor_chestplate, #bff8b6
turtle_shell_armor_leggings, #deffe4
turtle_shell_fragment, #cfffdc
vindicatorarmor_boots, #fcfcfc
vindicatorarmor_chestplate, #b4b1ae
vindicatorarmor_helmet, #ffffff
vindicatorarmor_leggings, #dde7e7
warden_carcass, #ebfcfe
white_cat_fur, #ffffff
white_horse_skin, #ffffff
white_llama_skin, #ffffff
wishbone, #ffffff
witches_clothes_chestplate, #a794be
witches_clothes_helmet, #e6e3e3
wither_bone, #b2b2b2
wither_bone_meal, #909091
wither_carcass, #ddddde
withered_heart, #aaaaaa
wolf_pelt, #ffffff
zoglin_skin, #f0deda
