// Compost colors for enderio. You may add your own colors, change existing ones, or remove colors that aren't needed.
advanced_item_filter, #9bb2ac
animal_token, #5c4b50
basic_capacitor, #ffffff
basic_fluid_filter, #e1f2f5
basic_item_filter, #aeaeae
basic_soul_filter, #eeeeed
big_advanced_item_filter, #cfb6bf
big_item_filter, #f1d6f1
cold_fire_igniter, #575454
conductive_alloy_grinding_ball, #fffaf8
conductive_alloy_ingot, #fff7e1
conductive_alloy_nugget, #ffffff
conduit_binder, #ffffff
conduit_binder_composite, #ffffff
conduit_probe, #ffffff
confusing_powder, #87868a
coordinate_selector, #ffffff
creative_tab_icon, #ffffff
dark_bimetal_gear, #9d9d9b
dark_steel_bars, #4b4b4b
dark_steel_door, #ffffff
dark_steel_grinding_ball, #a0a0a0
dark_steel_ingot, #aaa7ab
dark_steel_ladder, #2c2c2c
dark_steel_nugget, #ffffff
dark_steel_sword, #aeb2b1
double_layer_capacitor, #ffffff
electromagnet, #fff1d7
end_steel_bars, #ffffdc
end_steel_grinding_ball, #ffffea
end_steel_ingot, #ffffe7
end_steel_nugget, #ffffff
ender_crystal, #ffffff
ender_crystal_powder, #d4ffff
ender_resonator, #2f3222
enderios, #c0c5a7
energetic_alloy_grinding_ball, #ffdab2
energetic_alloy_ingot, #ffe8aa
energetic_alloy_nugget, #ffffff
energized_gear, #ffd49a
enticing_crystal, #ffffff
experience_rod, #fffcee
glider, #cabbb5
glider_wing, #ffffff
grains_of_infinity, #e1e1e1
guardian_diode, #f7fff2
infinity_rod, #ffffff
iron_gear, #dcdad9
limited_item_filter, #89c8aa
location_printout, #ffffff
loot_capacitor, #cd7c4a
monster_token, #6f4733
nutritious_stick, #6c5037
octadic_capacitor, #ffffff
photovoltaic_composite, #ffffff
photovoltaic_plate, #aebfcd
plant_matter_brown, #f2dec5
plant_matter_green, #b2c979
player_token, #292c25
powdered_coal, #322f33
powdered_copper, #ff9064
powdered_ender_pearl, #2ca490
powdered_gold, #ffe852
powdered_iron, #c0bfbf
powdered_lapis_lazuli, #ffffff
powdered_obsidian, #2f2047
powdered_quartz, #f8e4d2
powdered_tin, #ffffff
prescient_crystal, #ffffff
prescient_powder, #afe398
pulsating_alloy_grinding_ball, #e0ffed
pulsating_alloy_ingot, #b1ffdc
pulsating_alloy_nugget, #ffffff
pulsating_crystal, #ffffff
pulsating_powder, #3affdd
redstone_alloy_grinding_ball, #f7a7a7
redstone_alloy_ingot, #ffac9d
redstone_alloy_nugget, #ffffff
redstone_and_filter, #be807f
redstone_counting_filter, #fbdada
redstone_filter_base, #e8dede
redstone_nand_filter, #ffd6d6
redstone_nor_filter, #fadada
redstone_not_filter, #f1dddd
redstone_or_filter, #b68282
redstone_sensor_filter, #ffd9d9
redstone_timer_filter, #ffd6d6
redstone_toggle_filter, #fed9d9
redstone_xnor_filter, #ffd4d4
redstone_xor_filter, #ffd7d7
silicon, #ffffff
skeletal_contractor, #ddc8bf
soul_chain, #c2a882
soul_powder, #765f3d
soul_vial, #ffffff
soularium_grinding_ball, #beafa8
soularium_ingot, #bfaf98
soularium_nugget, #ffffff
staff_of_levity, #eaffff
staff_of_travelling, #ffffff
suspicious_seed, #43503d
vibrant_alloy_grinding_ball, #ffffd0
vibrant_alloy_ingot, #ffffe0
vibrant_alloy_nugget, #ffffff
vibrant_crystal, #ffffff
vibrant_gear, #feffbc
vibrant_powder, #e7f870
void_vial, #f0fcfe
weather_crystal, #ffffff
withering_powder, #252525
yeta_wrench, #f0ffff
z_logic_controller, #f0fff1
zombie_electrode, #ffffff
