// Compost colors for neoecoae. You may add your own colors, change existing ones, or remove colors that aren't needed.
aluminum_alloy_axe, #9e9ba1
aluminum_alloy_dust, #b4b6d2
aluminum_alloy_hoe, #87827f
aluminum_alloy_ingot, #d0d3ed
aluminum_alloy_pickaxe, #8a8689
aluminum_alloy_shovel, #9d9ba5
aluminum_alloy_sword, #afb2c0
aluminum_alloy_upgrade_smithing_template, #b179d4
aluminum_axe, #a0968a
aluminum_dust, #c2c3d6
aluminum_hoe, #897c6c
aluminum_ingot, #e4e6f5
aluminum_pickaxe, #90847d
aluminum_shovel, #a89b8d
aluminum_sword, #b1aebb
black_tungsten_alloy_axe, #6c6f6c
black_tungsten_alloy_dust, #40485a
black_tungsten_alloy_hoe, #66645b
black_tungsten_alloy_ingot, #4d5866
black_tungsten_alloy_pickaxe, #625f5b
black_tungsten_alloy_shovel, #646868
black_tungsten_alloy_sword, #757d83
black_tungsten_alloy_upgrade_smithing_template, #a26cc6
cryotheum, #4ed2f5
cryotheum_crystal, #94ffff
crystal_ingot, #dee1fa
crystal_matrix, #dae0f4
eco_cell_component_16m, #a8b9e0
eco_cell_component_256m, #af9dd2
eco_cell_component_64m, #bea5aa
eco_chemical_cell_housing, #bcd4de
eco_chemical_storage_cell_16m, #bcd4de
eco_chemical_storage_cell_256m, #bcd4de
eco_chemical_storage_cell_64m, #bcd4de
eco_fe_cell_housing, #d0c0d6
eco_fe_storage_cell_16m, #d0c0d6
eco_fe_storage_cell_256m, #d0c0d6
eco_fe_storage_cell_64m, #d0c0d6
eco_fluid_cell_housing, #bec9ee
eco_fluid_storage_cell_16m, #bec9ee
eco_fluid_storage_cell_256m, #bec9ee
eco_fluid_storage_cell_64m, #bec9ee
eco_infinite_cell_component, #a7a1b8
eco_item_cell_housing, #d3c9d3
eco_item_storage_cell_16m, #d3c9d3
eco_item_storage_cell_256m, #d3c9d3
eco_item_storage_cell_64m, #d3c9d3
eco_source_cell_housing, #b8a0dc
eco_source_storage_cell_16m, #b8a0dc
eco_source_storage_cell_256m, #b8a0dc
eco_source_storage_cell_64m, #b8a0dc
energized_crystal, #7ddaff
energized_crystal_cluster, #9affff
energized_crystal_dust, #90f0ff
energized_fluix_crystal, #7d48b1
energized_fluix_crystal_dust, #6e40b6
energized_superconductive_ingot, #9acdff
iron_dust, #a4a4a4
large_energized_crystal_bud, #a8ffff
medium_energized_crystal_bud, #9efcff
raw_aluminum_ore, #b5b8cc
raw_tungsten_ore, #726e55
small_energized_crystal_bud, #97fcff
superconducting_processor, #5c6c87
superconducting_processor_press, #afb1cc
superconducting_processor_print, #a1d0ff
tungsten_axe, #7a6c4a
tungsten_dust, #848266
tungsten_hoe, #6f5f3d
tungsten_ingot, #8a876e
tungsten_pickaxe, #70613e
tungsten_shovel, #8c7c58
tungsten_sword, #7a755c
